Ticker,Underwriter,Name,Price,Date,Status,Link
"OMED","KI - CIPTADANA SEKURITAS ASIA"," PT Jayamas Medica Industri Tbk (OMED)",204,"08 Nov 2022","","https://www.e-ipo.co.id/id/ipo/147/omed-pt-jayamas-medica-industri-tbk"
"PRAY","PD - INDO PREMIER SEKURITAS","PT Famon Awal Bros Sedaya Tbk (PRAY)",900,"08 Nov 2022","","https://www.e-ipo.co.id/id/ipo/151/pray-pt-famon-awal-bros-sedaya-tbk"
"COAL","SF - SURYA FAJAR SEKURITAS","PT Black Diamond Resources Tbk (COAL)",100,"07 Sep 2022","","https://www.e-ipo.co.id/id/ipo/146/coal-pt-black-diamond-resources-tbk"
"MEDS","AN - WANTEG SEKURITAS","PT Hetzer Medical Indonesia Tbk (MEDS)",125,"10 Aug 2022","","https://www.e-ipo.co.id/id/ipo/145/meds-pt-hetzer-medical-indonesia-tbk"
"CRAB","HD - KGI SEKURITAS INDONESIA","PT Toba Surimi Industries Tbk (CRAB)",150,"10 Aug 2022","","https://www.e-ipo.co.id/id/ipo/143/crab-pt-toba-surimi-industries-tbk"
"KLIN","SA - ELIT SUKSES SEKURITAS","PT Klinko Karya Imaji Tbk (KLIN)",100,"09 Aug 2022","","https://www.e-ipo.co.id/id/ipo/140/klin-pt-klinko-karya-imaji-tbk"
"BUAH","LS - RELIANCE SEKURITAS INDONESIA TBK.","PT Segar Kumala Indonesia Tbk (BUAH)",388,"09 Aug 2022","","https://www.e-ipo.co.id/id/ipo/144/buah-pt-segar-kumala-indonesia-tbk"
"TOOL","YP - MIRAE ASSET SEKURITAS INDONESIA","PT Rohartindo Nusantara Luas Tbk (TOOL)",127,"09 Aug 2022","","https://www.e-ipo.co.id/id/ipo/141/tool-pt-rohartindo-nusantara-luas-tbk"
"KKES","YP - MIRAE ASSET SEKURITAS INDONESIA","PT Kusuma Kemindo Sentosa Tbk (KKES)",105,"08 Aug 2022","","https://www.e-ipo.co.id/id/ipo/142/kkes-pt-kusuma-kemindo-sentosa-tbk"
"ELPI","LG - TRIMEGAH SEKURITAS INDONESIA TBK.","PT Pelayaran Nasional Ekalya Purnamasari Tbk  (ELPI)",200,"08 Aug 2022","","https://www.e-ipo.co.id/id/ipo/137/elpi-pt-pelayaran-nasional-ekalya-purnamasari-tbk"
"MORA","AZ - SUCOR SEKURITAS","PT Mora Telematika Indonesia Tbk (MORA)",396,"08 Aug 2022","","https://www.e-ipo.co.id/id/ipo/133/mora-pt-mora-telematika-indonesia-tbk"
"EURO","II - DANATAMA MAKMUR SEKURITAS","PT Estee Gold Feet Tbk (EURO)",70,"08 Aug 2022","","https://www.e-ipo.co.id/id/ipo/139/euro-pt-estee-gold-feet-tbk"
"RAFI","IN - INVESTINDO NUSANTARA SEKURITAS","PT Sari Kreasi Boga Tbk (RAFI)",126,"05 Aug 2022","","https://www.e-ipo.co.id/id/ipo/136/rafi-pt-sari-kreasi-boga-tbk"
"JARR","IN - INVESTINDO NUSANTARA SEKURITAS","PT Jhonlin Agro Raya Tbk (JARR)",300,"04 Aug 2022","","https://www.e-ipo.co.id/id/ipo/135/jarr-pt-jhonlin-agro-raya-tbk"
"AMMS","IU - INDO CAPITAL SEKURITAS","PT Agung Menjangan Mas Tbk (AMMS)",100,"04 Aug 2022","","https://www.e-ipo.co.id/id/ipo/132/amms-pt-agung-menjangan-mas-tbk"
